"relative_path","absolute_path","category","signature","purpose","direct_public_dependencies","sha256","validation_status"
"_shared/+converter/+adc/fitSine.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+adc/fitSine.m","公共内核_IO_输出_运行时","function fit = fitSine(adcCode, frequencyHz, sampleRate, fitSampleCount)","按分类使用；不是独立测量入口","","2d1ace333dc161e0bd341655e2dcb28eb54542c4b794809418a4368333041b75","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+adc/refineSineFrequency.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+adc/refineSineFrequency.m","公共内核_IO_输出_运行时","function frequencyHz = refineSineFrequency(adcCode, initialFrequencyHz, sampleRate, fitCycles, minimumFitSamples)","按分类使用；不是独立测量入口","","b658818efa42c64771accc8422d89d3453be276ecc88e53c6302c68a03568f83","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+adc/runBandwidth.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+adc/runBandwidth.m","公共内核_IO_输出_运行时","function results = runBandwidth(config, dataFolder, selectedFileNames, outputFolder)","按分类使用；不是独立测量入口","converter.adc.calculateBandwidth; converter.io.parseFrequencyHz; converter.io.readAdcCsv; converter.io.resolveInputPath; converter.io.selectCsvFiles; converter.report.plotBandwidth; converter.report.writeTable; converter.runtime.createRun; converter.runtime.finishRun; converter.runtime.recordInputDecoding","cbffcff0b12dcc4c086cce041c29d67a0397e1929657f27140782254f456b980","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+adc/runInlDnl.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+adc/runInlDnl.m","公共内核_IO_输出_运行时","function results = runInlDnl(config, dataFolder, selectedFileNames, outputFolder)","按分类使用；不是独立测量入口","converter.adc.calculateInlDnl; converter.io.readAdcCsv; converter.io.resolveAdcChannels; converter.io.resolveInputPath; converter.io.selectCsvFiles; converter.report.plotInlDnl; converter.report.writeTable; converter.runtime.createRun; converter.runtime.finishRun; converter.runtime.recordInputDecoding","47b6bfcb179c797729fe5378e4ef5ba67bc4e75aab45e6788506e4b89a972244","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+adc/runInputNoise.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+adc/runInputNoise.m","公共内核_IO_输出_运行时","function results = runInputNoise(config, dataFolder, selectedFiles, outputFolder, calibration)","按分类使用；不是独立测量入口","converter.io.readAdcCsv; converter.io.resolveAdcChannels; converter.report.plotSpectrum; converter.report.saveFigure; converter.report.writeTable; converter.runtime.createRun; converter.runtime.finishRun; converter.runtime.recordInputDecoding; converter.runtime.sha256File; converter.runtime.validateConfig","e7494f58fc37ac8de16e69b75e5ea2952b9964bde5d02ea60425b20712a76281","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+adc/runIsolation.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+adc/runIsolation.m","公共内核_IO_输出_运行时","function results = runIsolation(config, dataFolder, selectedFileNames, outputFolder)","按分类使用；不是独立测量入口","converter.adc.calculateIsolation; converter.io.readAdcCsv; converter.io.resolveAdcChannels; converter.io.resolveInputPath; converter.io.selectCsvFiles; converter.report.plotIsolation; converter.report.writeTable; converter.runtime.createRun; converter.runtime.finishRun; converter.runtime.recordInputDecoding","647468b8b334f7f09cb437dcfa1ee33f1d59d3f9c32cbbd4e61574c89476188a","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+adc/runPowerScale.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+adc/runPowerScale.m","公共内核_IO_输出_运行时","function results = runPowerScale(config, dataFolder, selectedFileNames, outputFolder, runOptions)","按分类使用；不是独立测量入口","converter.adc.calculatePowerScale; converter.adc.dbmToVpp; converter.adc.vppToDbm; converter.io.detectChannel; converter.io.parsePowerDbm; converter.io.parseVoltageVpp; converter.io.readAdcCsv; converter.io.resolveInputPath; converter.io.selectCsvFiles; converter.report.plotPowerScale; converter.report.writeTable; converter.runtime.createRun; converter.runtime.finishRun; converter.runtime.recordInputDecoding","1f059cb98c48d66d9f5f08481fa0164a36cc82d7529f3293d4a4df501440e167","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+adc/runSfdr.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+adc/runSfdr.m","公共内核_IO_输出_运行时","function results = runSfdr(config, dataFolder, selectedFileNames, outputFolder)","按分类使用；不是独立测量入口","converter.adc.analyzeDynamicMetrics; converter.io.readAdcCsv; converter.io.resolveInputPath; converter.io.selectCsvFiles; converter.report.plotSfdrSpectrum; converter.report.plotSfdrSummary; converter.report.writeTable; converter.runtime.createRun; converter.runtime.finishRun; converter.runtime.recordInputDecoding","0b5fa397e4a68990b60f75feb02704c5076d115daccb2424e234a344fc5bf438","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+adc/vppToDbm.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+adc/vppToDbm.m","公共内核_IO_输出_运行时","function inputPowerDbm = vppToDbm(vpp, referenceImpedanceOhm)","按分类使用；不是独立测量入口","","6b0d1c681b8d8f3569f91135423de1ec49dd08578b367609af9dae1e729819b0","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+calibration/loadAdcCalibration.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+calibration/loadAdcCalibration.m","公共内核_IO_输出_运行时","function [rows, sourceType] = loadAdcCalibration(sourcePath)","按分类使用；不是独立测量入口","converter.calibration.reportCalibration","f85d17102113f601fb76ee2edd78e01ae5d10341739d1e07e7d74988b63c9d0e","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+calibration/reportCalibration.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+calibration/reportCalibration.m","公共内核_IO_输出_运行时","function rows = reportCalibration(device)","按分类使用；不是独立测量入口","","e56edf9f428ae6cc31ef83c5fef906b5c857c08ae27624dbdc1dfd330cc5da7c","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+dac/estimateToneFrequency.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+dac/estimateToneFrequency.m","公共内核_IO_输出_运行时","function estimate = estimateToneFrequency(voltage, sampleRateHz, nominalFrequencyHz, searchFraction)","按分类使用；不是独立测量入口","converter.dac.fitTone","88363a18b86d60edcc944a366bda623096965cd1b4cb4194f9040afc9c2c9810","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+dac/fitTone.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+dac/fitTone.m","公共内核_IO_输出_运行时","function fit = fitTone(voltage, sampleRateHz, toneFrequencyHz)","按分类使用；不是独立测量入口","","a3293a5b6e74419f0a9250968701a2c563464612a365124d4f7f351459253913","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+dac/loadPicoMat.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+dac/loadPicoMat.m","公共内核_IO_输出_运行时","function capture = loadPicoMat(varargin)","按分类使用；不是独立测量入口","converter.io.loadPicoMat","97303026b14f55df71c14b8ebeaf05258216f693fb265363e45f92b92fa8a410","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+dac/runIsolation.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+dac/runIsolation.m","公共内核_IO_输出_运行时","function result = runIsolation(config)","按分类使用；不是独立测量入口","converter.dac.fitTone; converter.io.loadPicoMat; converter.io.resolveInputPath; converter.report.saveFigure; converter.report.writeTable; converter.runtime.createRun; converter.runtime.finishRun; converter.runtime.refreshResultPaths; converter.runtime.sha256File; converter.runtime.validateConfig; converter.runtime.valueToText","f2eefdaa28682c4155d6e93d4972e82719cc0598223db3e0176a086e59a2f478","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+dac/runNoise.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+dac/runNoise.m","公共内核_IO_输出_运行时","function result = runNoise(config)","按分类使用；不是独立测量入口","converter.io.loadPicoMat; converter.io.resolveInputPath; converter.report.plotSpectrum; converter.report.writeTable; converter.runtime.createRun; converter.runtime.finishRun; converter.runtime.refreshResultPaths; converter.runtime.sha256File; converter.runtime.validateConfig; converter.runtime.valueToText","4a8b9de75fc5ebebedcf10be3e3de6a93a4bd6eab6c114bafd78d901dab362bb","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+dac/runScale.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+dac/runScale.m","公共内核_IO_输出_运行时","function result = runScale(config)","按分类使用；不是独立测量入口","converter.dac.fitTone; converter.io.loadPicoMat; converter.io.resolveInputPath; converter.report.saveFigure; converter.report.writeTable; converter.runtime.createRun; converter.runtime.finishRun; converter.runtime.refreshResultPaths; converter.runtime.sha256File; converter.runtime.validateConfig; converter.runtime.valueToText","260d0129ee1cea7a819459a4fdcb8eba352d64f0aaecb1e03dcb6cbb51295337","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+io/detectChannel.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+io/detectChannel.m","公共内核_IO_输出_运行时","function channelName = detectChannel(filePath, fileName, dataFolder, config)","按分类使用；不是独立测量入口","converter.io.extractChannel","fe9e0907004e5947ef6af18e6d5114e8255fecc4043087b180bb815e14b55d45","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+io/extractChannel.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+io/extractChannel.m","公共内核_IO_输出_运行时","function channelName = extractChannel(textValue, config)","按分类使用；不是独立测量入口","","65af07cfd1807f7f918b0e8bc3cd34c9a1afcbe39513fceba75689754508cf69","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+io/loadPicoMat.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+io/loadPicoMat.m","公共内核_IO_输出_运行时","function capture = loadPicoMat(filePath, requestedVariable, hardwareGain, removeMean)","按分类使用；不是独立测量入口","","812de4b8e9adee0fa3a75d67731dd151da9e482de5a44271092f03650bffe9c3","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+io/parseDrivenChannel.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+io/parseDrivenChannel.m","公共内核_IO_输出_运行时","function channelName = parseDrivenChannel(textValue)","按分类使用；不是独立测量入口","","14a488ee2386012d612c7ad2bf9d77055c9730e6b0127604c0db7d75c87d9026","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+io/parseFrequencyHz.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+io/parseFrequencyHz.m","公共内核_IO_输出_运行时","function frequencyHz = parseFrequencyHz(fileName)","按分类使用；不是独立测量入口","","2cf0b63edce68056cd9eb4df7625c623fea05fcee641eb19d2001c82ed53639b","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+io/parsePowerDbm.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+io/parsePowerDbm.m","公共内核_IO_输出_运行时","function powerDbm = parsePowerDbm(fileName)","按分类使用；不是独立测量入口","","220dc1e67c715f1db344560a0525e8353cd34b3a35842de3dfaf49dd583975b4","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+io/parseVoltageVpp.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+io/parseVoltageVpp.m","公共内核_IO_输出_运行时","function voltageVpp = parseVoltageVpp(fileName)","按分类使用；不是独立测量入口","","8a0a778a9cc5ffbfd7bcf60bd8ebc6c03050fb395614dd3b10e18069c4495473","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+io/prepareAdcRadix.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+io/prepareAdcRadix.m","公共内核_IO_输出_运行时","function [config,files,dataFolder,cancelled] = prepareAdcRadix(config,dataFolder,files)","按分类使用；不是独立测量入口","converter.io.readAdcCsv; converter.io.resolveInputPath; converter.io.selectCsvFiles","1558bdf5a08a36394e7468907e5f03d72149c63e2ef4e84a18e9e5e5312f9f5d","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+io/prepareDacInputs.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+io/prepareDacInputs.m","公共内核_IO_输出_运行时","function [config, cancelled] = prepareDacInputs(config, dataFolder, files, outputFolder, overrides, defaultFolder)","按分类使用；不是独立测量入口","converter.io.resolveOutputBase; converter.io.selectMatFiles; converter.runtime.mergeConfig","d516c10656846dddb983f186a3909b611661b445b38c6e49fcc4ac94b2703e6a","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+io/prepareDacIsolation.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+io/prepareDacIsolation.m","公共内核_IO_输出_运行时","function [config, cancelled] = prepareDacIsolation(config, dataFolder, pairs, outputFolder, overrides, defaultFolder)","按分类使用；不是独立测量入口","converter.dac.estimateToneFrequency; converter.dac.fitTone; converter.io.loadPicoMat; converter.io.resolveInputPath; converter.io.resolveOutputBase; converter.io.selectMatFiles; converter.runtime.mergeConfig","3c5995bbedb9d318b20c726c8600868827da4df6be2a8f3e47830ea586ed1455","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+io/readAdcCsv.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+io/readAdcCsv.m","公共内核_IO_输出_运行时","function [adcCode, metadata] = readAdcCsv(filePath, config)","按分类使用；不是独立测量入口","converter.io.resolveAdcInputRadix; converter.runtime.validateConfig","3e8292a9bce653d31d7e3ffa3d145bbaabaa61e0e40596404267b1f8b6a72012","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+io/resolveAdcChannels.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+io/resolveAdcChannels.m","公共内核_IO_输出_运行时","function channels = resolveAdcChannels(config, dataFolder, files, interactive)","按分类使用；不是独立测量入口","converter.io.detectChannel; converter.io.resolveInputPath","412675dc15ffa26745046f7713653b950f0eb9e42528c39ebecc66df78ec634f","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+io/resolveAdcInputRadix.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+io/resolveAdcInputRadix.m","公共内核_IO_输出_运行时","function [radix,source] = resolveAdcInputRadix(tokens,headers,column,config,filePath)","按分类使用；不是独立测量入口","","65e559ac860d720c060b058943a2d695b5029d66864ae617dc2c446ed6df814c","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+io/resolveInputPath.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+io/resolveInputPath.m","公共内核_IO_输出_运行时","function filePath = resolveInputPath(dataFolder, fileName)","按分类使用；不是独立测量入口","","024096025fafc06510a580f3c6f9ac893eb60ff03ebb27ce404442056b639604","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+io/resolveOutputBase.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+io/resolveOutputBase.m","公共内核_IO_输出_运行时","function outputBase = resolveOutputBase(dataFolder, outputFolder)","按分类使用；不是独立测量入口","","55ddca35f65633e6fdf1081afc3d2a21681a1fa2fdcd832c0a8dcccac31908ef","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+io/selectCaptureFiles.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+io/selectCaptureFiles.m","公共内核_IO_输出_运行时","function [files, dataFolder] = selectCaptureFiles(dataFolder, selectedFiles, extension, titleText)","按分类使用；不是独立测量入口","converter.io.resolveInputPath","fd101204798ccd807754be6a76265958cba3234afa36733e60bc26cfb2a19683","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+io/selectCsvFiles.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+io/selectCsvFiles.m","公共内核_IO_输出_运行时","function [fileNames, dataFolder] = selectCsvFiles(dataFolder, selectedFileNames, dialogTitle)","按分类使用；不是独立测量入口","converter.io.selectCaptureFiles","087e3ba1753cbd84c88eb91970e92c373fd763ce1801b8a7201c93752579c4c5","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+io/selectMatFiles.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+io/selectMatFiles.m","公共内核_IO_输出_运行时","function [fileNames, dataFolder] = selectMatFiles(dataFolder, selectedFileNames, dialogTitle)","按分类使用；不是独立测量入口","converter.io.selectCaptureFiles","52ee45d9b18b13f1ea014ce065b7ccb9838c689827f696146cc32a11595d8898","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+report/buildSummarySheets.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+report/buildSummarySheets.m","公共内核_IO_输出_运行时","function sheets = buildSummarySheets(folder, config)","按分类使用；不是独立测量入口","","5862fe2471d4684b05790ea5f80aae3f4da2ecfdad3ef09f4e4da31281fe85a8","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+report/plotBandwidth.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+report/plotBandwidth.m","公共内核_IO_输出_运行时","function plotBandwidth(results, bandwidthHz, outputFolder, config)","按分类使用；不是独立测量入口","converter.report.saveFigure","4efcdcf452b3adb34ea075f40828bef4a5b72c6f24d0e9df368c8541b7946f99","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+report/plotInlDnl.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+report/plotInlDnl.m","公共内核_IO_输出_运行时","function plotInlDnl(details, outputFolder, config)","按分类使用；不是独立测量入口","converter.report.saveFigure","0fea1ad8301941b5109c4594ef98f2b792587307489703703c36f9be8e90511a","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+report/plotIsolation.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+report/plotIsolation.m","公共内核_IO_输出_运行时","function plotIsolation(results, drivenChannel, frequencyHz, outputFolder, config)","按分类使用；不是独立测量入口","converter.report.saveFigure","c31391f825191c7e9e69b9e6d59fc1b61c06788dc48c7e61cda02f483d94fac1","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+report/plotPowerScale.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+report/plotPowerScale.m","公共内核_IO_输出_运行时","function plotPowerScale(results, details, outputFolder, config)","按分类使用；不是独立测量入口","converter.report.saveFigure","f289a41369dae0a4afc04b7e781df51408d84c96654f4cc5dce0e08372840d71","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+report/plotSfdrSpectrum.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+report/plotSfdrSpectrum.m","公共内核_IO_输出_运行时","function plotSfdrSpectrum(metrics, fileName, outputFolder, config)","按分类使用；不是独立测量入口","converter.report.saveFigure","ad3f5f483a9d17f502307ba7de2593545ea053de01eca6592cc6fbc47e49b711","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+report/plotSfdrSummary.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+report/plotSfdrSummary.m","公共内核_IO_输出_运行时","function plotSfdrSummary(results, outputFolder, config)","按分类使用；不是独立测量入口","converter.report.saveFigure","4e368f0ee45cfa0781f12d6411ecf0952a1dc47fec1bd1f6fc589c132337d798","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+report/plotSpectrum.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+report/plotSpectrum.m","公共内核_IO_输出_运行时","function plotFile = plotSpectrum(frequencyHz, values, outputStem, config)","按分类使用；不是独立测量入口","converter.report.saveFigure","6ff97fb8056836666f9eb5eb36cc4b4ec4c62ecba67a37af7364974baeec3850","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+report/saveFigure.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+report/saveFigure.m","公共内核_IO_输出_运行时","function saveFigure(figureHandle, outputStem, resolutionDpi)","按分类使用；不是独立测量入口","","69066848ad6d56122dfa3f925c8a62e5d56e00b41aeb1af9fe4ce756acc95a2f","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+report/writeSummaryXlsx.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+report/writeSummaryXlsx.m","公共内核_IO_输出_运行时","function writeSummaryXlsx(filePath, sheets)","按分类使用；不是独立测量入口","","8c461ba60c2e8d7b2af496f4aa02cec10825c4d95a5c5ccbdb7305d4f4b372cb","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+report/writeTable.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+report/writeTable.m","公共内核_IO_输出_运行时","function writeTable(dataTable, filePath)","按分类使用；不是独立测量入口","","ed3d316de167c83fd10fcc2b719ac7f43b32c2c5a5bbf6cf18c6293936f5ce7d","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+runtime/applyRunOptions.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+runtime/applyRunOptions.m","公共内核_IO_输出_运行时","function [config, options] = applyRunOptions(config, options)","按分类使用；不是独立测量入口","converter.runtime.mergeConfig","43599035ab411b33fff6d752b30698c74660fbd11dccf30267da38f473ee4614","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+runtime/auditRun.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+runtime/auditRun.m","公共内核_IO_输出_运行时","function audit = auditRun(runFolder, expectedInputCount)","按分类使用；不是独立测量入口","converter.io.resolveInputPath; converter.runtime.sha256File","abf14dcb6fdb6b794a68d7fbd5bb8e9eb5801a75b1f4cf62682933978d9f4307","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+runtime/createRun.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+runtime/createRun.m","公共内核_IO_输出_运行时","function runContext = createRun(config, dataFolder, fileNames, outputFolder)","按分类使用；不是独立测量入口","converter.io.resolveOutputBase; converter.runtime.getGitRevision; converter.runtime.validateConfig; converter.runtime.writeRunManifest; converter.runtime.writeSourceManifest","602a3284f68d2c747ad0dfe158d1d73e19b4106bd1b1de6e3a143f57c5b3bb38","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+runtime/evidencePath.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+runtime/evidencePath.m","公共内核_IO_输出_运行时","function filePath = evidencePath(runFolder, fileName)","按分类使用；不是独立测量入口","","d70a800ea8a9c02943e0a6853518f83e420d887dabb76befa359cf06a7a56d34","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+runtime/finalizeBundle.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+runtime/finalizeBundle.m","公共内核_IO_输出_运行时","function finalizeBundle(runFolder, config)","按分类使用；不是独立测量入口","converter.report.buildSummarySheets; converter.report.writeSummaryXlsx; converter.report.writeTable; converter.runtime.refreshResultPaths","16b9b498ea861ae61aefcaaa0edeed9bacc055172268707e5547e171b3bff06a","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+runtime/finishRun.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+runtime/finishRun.m","公共内核_IO_输出_运行时","function finishRun(runContext, succeeded, message)","按分类使用；不是独立测量入口","converter.runtime.finalizeBundle","4e4c6ee26e1955fa523f804df51df178b0b5e87c4606eaf95c01a0398627581b","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+runtime/getGitRevision.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+runtime/getGitRevision.m","公共内核_IO_输出_运行时","function revision = getGitRevision(startFolder)","按分类使用；不是独立测量入口","","13892463d325a3fd342c2d38613f4c7ed3613d67d876efe763f45fad87ea14b1","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+runtime/mergeConfig.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+runtime/mergeConfig.m","公共内核_IO_输出_运行时","function config = mergeConfig(config, override)","按分类使用；不是独立测量入口","","af2b54d799c088f5fe2f709ba100bf5d69935d5430230091679f912d086b133c","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+runtime/recordInputDecoding.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+runtime/recordInputDecoding.m","公共内核_IO_输出_运行时","function recordInputDecoding(runFolder, metadata)","按分类使用；不是独立测量入口","converter.report.writeTable","1a71cfb23711d8b26ff31dd6bc4185f9d7008dfe87ba62f3dc08887b6144d25d","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+runtime/refreshResultPaths.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+runtime/refreshResultPaths.m","公共内核_IO_输出_运行时","function value = refreshResultPaths(value, runFolder)","按分类使用；不是独立测量入口","converter.runtime.refreshResultPaths","0073a68277b1ff7571f2f20d8dd14cfcf52e20ecc6f104f1e2e80f1d327118f6","按本次实施报告逐项核对；清单不等于方法已验证"
